Total Potential Stores,List of Retailers,City,State,Reflex Market,Prioritized Zip Codes
"1","PacSun","Natick","MA","Not Live","01760"
"1","PacSun","Maple Grove","MN","Not Live","12465"
"1","PacSun","Greenwood","IN","Not Live","46142"
"1","PacSun","Henderson","NV","Not Live","89014"
"1","PacSun","Fairview Heights","IL","Not Live","62208"
"1","PacSun","Chino Hills","CA","Not Live","13920"
"1","PacSun","Sarasota","FL","Not Live","34243"
"1","PacSun","Wayne","NJ","Not Live","07470"
"1","PacSun","Santa Monica","CA","Not Live","90401"
"1","PacSun","Tallahassee","FL","Not Live","32301"
"1","PacSun","Manchester","NH","Not Live","03103"
"1","PacSun","Skokie","IL","Not Live","60077"
"1","PacSun","Whitehall Township","PA","Not Live","18052"
"1","PacSun","Sacramento","CA","Live","95815"
"1","PacSun","Deptford","NJ","Not Live","08096"
"1","PacSun","Topeka","KS","Not Live","66604"
"1","PacSun","Independence","MO","Not Live","18813"
"1","PacSun","Algonquin","IL","Not Live","60102"
"1","Pacific Sunwear","Okemos","MI","Not Live","48864"
"1","PacSun","Escondido","CA","Not Live","92025"
"1","PacSun","North Dartmouth","MA","Not Live","02747"
"1","PacSun","Tempe","AZ","Not Live","85288"
"1","PacSun","Champaign","IL","Not Live","61820"
"1","PacSun","Poughkeepsie","NY","Not Live","12601"
"1","PacSun","Lombard","IL","Not Live","60148"
"1","PacSun","Peabody","MA","Not Live","01960"
"1","PacSun","Torrance","CA","Not Live","21540"
"1","PacSun","Merrillville","IN","Not Live","46410"
"1","PacSun","Cerritos","CA","Not Live","90703"
"1","PacSun","Fort Lauderdale","FL","Not Live","33304"
"1","PacSun","Lafayette","IN","Not Live","47905"
"1","PacSun","Lawrence Township","NJ","Not Live","08648"
"1","PacSun","Braintree","MA","Not Live","02184"
"1","Pac Sun","Janesville","WI","Not Live","53545"
"1","PacSun","Willow Grove","PA","Not Live","19090"
"1","PacSun","Daly City","CA","Not Live","94015"
"1","PacSun","Biloxi","MS","Live","39531"
"1","PacSun","Beachwood","OH","Not Live","26300"
"1","PacSun","Clearwater","FL","Not Live","27001"
"1","PacSun","Bakersfield","CA","Live","93304"
"1","PacSun","Novi","MI","Not Live","27330"
"1","Pacific Sunwear","Memphis","TN","Live","38133"
"1","PacSun","Santa Clara","CA","Not Live","95050"
"1","Pacific Sunwear","State College","PA","Not Live","16801"
"1","PacSun","Omaha","NE","Live","68144"
"1","PacSun","Rockaway","NJ","Not Live","07866"
"1","PacSun","National City","CA","Not Live","91950"
"1","PacSun","Winter Garden","FL","Not Live","34787"
"1","PacSun","Nashua","NH","Not Live","03060"
"1","PacSun","Grand Rapids","MI","Not Live","49512"
"1","PacSun","Santa Barbara","CA","Not Live","93101"
"1","PaciSun","Davenport","IA","Not Live","52806"
"1","Pac Sun","Mobile","AL","Not Live","36606"
"1","PacSun","Akron","OH","Not Live","44333"
"1","PacSun","Metairie","LA","Not Live","70002"
"1","PacSun","Winston-Salem","NC","Not Live","27103"
"1","PacSun","Buford","GA","Not Live","30519"
"1","PacSun","Norman","OK","Not Live","73072"
"1","PacSun","Ann Arbor","MI","Not Live","48108"
"1","PacSun","Modesto","CA","Not Live","95356"
"1","PacSun","Lexington","KY","Not Live","40503"
"1","Pacific Sunwear","Anaheim","CA","Not Live","92806"
"1","PacSun","Boise","ID","Not Live","83704"
"1","PacSun","Grandville","MI","Not Live","49418"
"1","PacSun","Freehold","NJ","Not Live","07728"
"1","PacSun","West Covina","CA","Not Live","91790"
"1","PacSun","Bridgewater","NJ","Not Live","08807"
"1","PacSun","Kennesaw","GA","Not Live","30144"
"1","PacSun","Arcadia","CA","Not Live","91007"
"1","PacSun","Temecula","CA","Not Live","40820"
"1","PacSun","Rochester","NY","Not Live","14626"
"1","PacSun","Fort Wayne","IN","Not Live","46805"
"1","PacSun","Fayetteville","AR","Not Live","72703"
"1","PacSun","Thousand Oaks","CA","Not Live","91360"
"1","Pac Sun","Moline","IL","Not Live","61265"
"1","PacSun","Altamonte Springs","FL","Not Live","32701"
"1","PacSun","San Mateo","CA","Not Live","94403"
"1","PacSun","Flagstaff","AZ","Not Live","86004"
"1","PacSun","Schaumburg","IL","Not Live","60173"
"1","PacSun","Holyoke","MA","Not Live","01040"
"1","PacSun","Farmington","CT","Not Live","06032"
"1","PacSun","Toledo","OH","Not Live","43623"
"1","PacSun","Montclair","CA","Not Live","91763"
"1","Pac Sun","Glenwood Springs","CO","Not Live","51027"
"1","PacSun","Cherry Hill Township","NJ","Not Live","08002"
"1","PacSun","Eugene","OR","Not Live","97401"
"1","PacSun","Edison","NJ","Not Live","08837"
"1","PacSun","Auburn","ME","Not Live","04210"
"1","PacSun","Brandon","FL","Not Live","33511"
"1","PacSun","Loveland","CO","Not Live","80538"
"1","PacSun","Indianapolis","IN","Live","46250"
"1","PacSun","Lincoln","NE","Not Live","68505"
"1","PacSun","Fresno","CA","Live","93710"
"1","PacSun","Garden City","NY","Not Live","11530"
"1","PacSun","Baton Rouge","LA","Live","70836"
"1","PacSun","Gainesville","FL","Not Live","32605"
"1","PacSun","Irvine","CA","Not Live","92618"
"1","PacSun","Providence","RI","Not Live","02903"
"1","PacSun","Canoga Park","CA","Not Live","91303"
"1","PacSun","Albuquerque","NM","Not Live","87110"
"1","PacSun","St. Petersburg","FL","Not Live","33710"
"1","PacSun","Durham","NC","Not Live","27713"
"1","PacSun","Danbury","CT","Not Live","06810"
"1","PacSun","Tulsa","OK","Live","74133"
"1","PacSun","Mission Viejo","CA","Not Live","92691"
"1","PacSun","Liberty Township","OH","Not Live","45069"
"1","PacSun","Bethesda","MD","Not Live","20817"
"1","PacSun","Bismarck","ND","Not Live","58504"
"1","Pac Sun","Rockford","IL","Not Live","61112"
"1","PacSun","Lancaster","PA","Not Live","17601"
"1","PacSun","Burlington","MA","Not Live","01803"
"1","PacSun","Newark","DE","Not Live","19702"
"1","PacSun","Victor","NY","Not Live","14564"
"1","PacSun","Wichita","KS","Not Live","67207"
"1","PacSun","Savannah","GA","Live","31406"
"1","PacSun","Mentor","OH","Not Live","44060"
"1","PacSun","Cincinnati","OH","Live","45236"
"1","PacSun","Hyannis","MA","Not Live","02601"
"1","PacSun","Augusta","ME","Not Live","04330"
"1","PacSun","Evansville","IN","Not Live","47715"
"1","PacSun","Orland Park","IL","Not Live","60462"
"1","PacSun","Towson","MD","Not Live","21204"
"1","PacSun","Lone Tree","CO","Not Live","80124"
"1","PacSun","Vancouver","WA","Not Live","98662"
"1","PacSun","Elmhurst","NY","Not Live","11373"
"1","PacSun","Woodbury","MN","Not Live","55125"
"1","PacSun","Northridge","CA","Not Live","91324"
"1","PacSun","Buffalo","NY","Not Live","14225"
"1","Polo Ralph Lauren Factory Store","Locust Grove","GA","Not Live","30248"
"1","Polo Ralph Lauren Factory Store","Destin","FL","Not Live","10562"
"1","Polo Ralph Lauren Factory Store","Simpsonville","KY","Not Live","40067"
"1","Ralph Lauren","Short Hills","NJ","Not Live","07078"
"1","Polo Ralph Lauren Factory Store","Bluffton","SC","Not Live","29910"
"1","Polo Ralph Lauren Factory Store","Folsom","CA","Not Live","13000"
"1","Polo Ralph Lauren Factory Store","Thornton","CO","Not Live","13801"
"1","Ralph Lauren Polo","Corona","NY","Not Live","11368"
"1","Polo Ralph Lauren Factory Store","Lakewood","CO","Not Live","14500"
"1","Polo Ralph Lauren Factory Store","Howell","MI","Not Live","48855"
